timestamp,cpu,memory,response_time
2025-05-19T12:00:00Z,0.30,0.41,120
2025-05-19T12:01:00Z,0.28,0.39,122
2025-05-19T12:02:00Z,0.31,0.40,118
2025-05-19T12:03:00Z,0.32,0.42,125
2025-05-19T12:04:00Z,0.29,0.38,123
2025-05-19T12:05:00Z,0.33,0.43,119
2025-05-19T12:06:00Z,0.30,0.41,124
2025-05-19T12:07:00Z,0.31,0.40,121
2025-05-19T12:08:00Z,0.29,0.39,120
2025-05-19T12:09:00Z,0.32,0.42,126
2025-05-19T12:10:00Z,0.31,0.41,123
2025-05-19T12:11:00Z,0.30,0.40,121
2025-05-19T12:12:00Z,0.33,0.44,122
2025-05-19T12:13:00Z,0.28,0.38,119
2025-05-19T12:14:00Z,0.30,0.41,120
2025-05-19T12:15:00Z,0.31,0.40,118
2025-05-19T12:16:00Z,0.29,0.39,122
2025-05-19T12:17:00Z,0.32,0.42,124
2025-05-19T12:18:00Z,0.30,0.40,120
2025-05-19T12:19:00Z,0.33,0.43,119
2025-05-19T12:20:00Z,0.91,0.95,510
2025-05-19T12:21:00Z,0.88,0.92,520
2025-05-19T12:22:00Z,0.89,0.93,480
2025-05-19T12:23:00Z,0.85,0.90,495
2025-05-19T12:24:00Z,0.90,0.94,540
2025-05-19T12:25:00Z,0.92,0.96,530
2025-05-19T12:26:00Z,0.29,0.39,122
2025-05-19T12:27:00Z,0.30,0.40,123
2025-05-19T12:28:00Z,0.93,0.97,560
2025-05-19T12:29:00Z,0.32,0.42,121
